0,1,2,3,4,5,6,7
tensor(1.2206),tensor(-0.0269),tensor(0.1014),tensor(-0.2018),tensor(-1.1026),tensor(-0.8133),tensor(-1.4646),tensor(2.4827)
tensor(1.2192),tensor(-0.0394),tensor(-0.0040),tensor(-0.1548),tensor(-2.0195),tensor(-1.4011),tensor(-2.0971),tensor(1.3147)
tensor(1.2180),tensor(-0.0573),tensor(-0.0586),tensor(-0.1563),tensor(-2.4409),tensor(-1.7338),tensor(-2.1159),tensor(-0.1575)
tensor(1.2168),tensor(-0.0729),tensor(0.0313),tensor(-0.1584),tensor(-1.4579),tensor(-0.8158),tensor(-1.6072),tensor(-1.2478)
tensor(1.2153),tensor(-0.0837),tensor(-0.0413),tensor(-0.2087),tensor(-1.2417),tensor(0.0625),tensor(-2.5572),tensor(-2.5227)
tensor(1.2134),tensor(-0.0957),tensor(-0.0035),tensor(-0.2632),tensor(-1.7541),tensor(-0.9791),tensor(-1.8166),tensor(-1.9418)
tensor(1.2111),tensor(-0.1061),tensor(0.0624),tensor(-0.3079),tensor(-0.8556),tensor(0.0855),tensor(-1.8682),tensor(-1.9743)
tensor(1.2087),tensor(-0.1131),tensor(0.1783),tensor(-0.2993),tensor(-0.8923),tensor(-0.5636),tensor(-1.0748),tensor(-0.9717)
tensor(1.2062),tensor(-0.1221),tensor(0.1573),tensor(-0.3325),tensor(-1.3457),tensor(-0.9113),tensor(-1.4836),tensor(-0.5239)
tensor(1.2033),tensor(-0.1329),tensor(0.1386),tensor(-0.3701),tensor(-1.3546),tensor(-0.4911),tensor(-2.3175),tensor(0.0239)
tensor(1.2003),tensor(-0.1425),tensor(0.1601),tensor(-0.3947),tensor(-1.0506),tensor(-0.1631),tensor(-2.1925),tensor(-0.8625)
tensor(1.1971),tensor(-0.1529),tensor(0.2208),tensor(-0.3915),tensor(-1.5538),tensor(-1.2160),tensor(-1.5351),tensor(-0.3221)
tensor(1.1939),tensor(-0.1649),tensor(0.1706),tensor(-0.3960),tensor(-1.4344),tensor(-0.7923),tensor(-1.8840),tensor(-1.0404)
tensor(1.1913),tensor(-0.1793),tensor(0.0551),tensor(-0.2492),tensor(-2.1661),tensor(-1.8796),tensor(-1.2192),tensor(-1.1062)
tensor(1.1896),tensor(-0.1963),tensor(-0.0900),tensor(-0.1791),tensor(-2.1001),tensor(-1.1083),tensor(-2.2707),tensor(-0.5007)
tensor(1.1886),tensor(-0.2164),tensor(-0.3302),tensor(-0.0650),tensor(-2.9245),tensor(-1.3532),tensor(-3.1410),tensor(-0.9250)
tensor(1.2516),tensor(0.0034),tensor(-0.0959),tensor(-0.0461),tensor(-0.1541),tensor(0.4308),tensor(-1.0212),tensor(-1.2671)
tensor(1.2509),tensor(0.0025),tensor(-0.0422),tensor(-0.1341),tensor(-0.0399),tensor(0.1714),tensor(-0.3080),tensor(-1.1595)
tensor(1.2495),tensor(0.0033),tensor(0.0195),tensor(-0.2073),tensor(0.2356),tensor(0.0281),tensor(0.5922),tensor(-1.8372)
tensor(1.2475),tensor(0.0025),tensor(-0.0580),tensor(-0.2970),tensor(-0.4164),tensor(-0.3061),tensor(-0.2670),tensor(-0.8175)
tensor(1.2448),tensor(-0.0011),tensor(-0.0298),tensor(-0.3971),tensor(-0.5024),tensor(-0.5944),tensor(0.0099),tensor(0.1017)
tensor(1.2412),tensor(-0.0036),tensor(-0.0136),tensor(-0.4916),tensor(-0.0970),tensor(0.0749),tensor(-0.3988),tensor(0.9649)
tensor(1.2370),tensor(-0.0067),tensor(-0.1055),tensor(-0.5610),tensor(-0.6717),tensor(-0.1278),tensor(-1.2586),tensor(0.9013)
