,embedding,model
444,"[17.51719548910255, -1.6435398389653382]",0
445,"[19.162375722965646, -2.5935562321167405]",0
446,"[17.37576671314608, -1.9009314579609327]",0
447,"[18.998296358010087, -2.657242366781976]",0
448,"[17.795735592639222, -1.7900855060463738]",0
449,"[18.59039898215302, -2.527038601719233]",0
450,"[17.787050092832416, -1.9431789529285761]",0
451,"[18.329521155854, -2.4137036387016257]",0
452,"[17.6947564727801, -2.299228875126464]",0
453,"[18.095969241968582, -2.490225817101396]",0
454,"[17.719133118061233, -2.450223070501148]",0
455,"[17.883189936437777, -2.700430701106706]",0
456,"[26.1856920307286, -19.283486591282703]",0
457,"[30.73467039720191, -21.70785992739495]",0
458,"[15.78016293845704, -0.9519471606789064]",0
459,"[27.42005400939752, -20.133455351089104]",0
460,"[30.822969834094245, -21.48420299888726]",0
461,"[29.740959513813483, -20.241703113588983]",0
462,"[31.0224521062412, -21.36613272452248]",0
463,"[29.76252058460621, -20.00074265112253]",0
464,"[29.56742870905574, -19.831896508623814]",0
465,"[29.29202821567849, -19.6278959487244]",0
466,"[28.89586831331459, -19.730066970454107]",0
467,"[16.522870512826614, 0.6010912769958302]",0
468,"[-6.661311592836179, 19.691723315683106]",0
469,"[-6.556759214208626, 19.76071359953723]",0
470,"[-4.25540233732347, 19.470806594846973]",0
471,"[-4.180807677563813, 19.427659830577817]",0
472,"[-4.348250615132964, 19.52413666587908]",0
473,"[-3.857663009510599, 19.183532511120884]",0
474,"[-9.486510659767479, 21.259784058188323]",0
475,"[-2.5036658209293496, 18.198752099687734]",0
476,"[-4.896152663708431, 19.840980628117062]",0
477,"[-10.484510985621458, 21.404489381534006]",0
478,"[-10.81042171510491, 21.362870088703314]",0
479,"[-10.973433356330382, 21.23306657370989]",0
480,"[-11.064418589622527, 20.85014231063687]",0
481,"[-11.278097191866697, 21.43055741989071]",0
482,"[-11.262753857423245, 21.294213772946886]",0
483,"[-11.264394945734352, 20.875121371871597]",0
484,"[-11.481333502577348, 21.606763119963333]",0
485,"[-11.334910739568304, 21.455511549749428]",0
486,"[8.077355398933614, -9.584870625516503]",0
487,"[15.4287580862509, -31.551046507052153]",0
488,"[15.749355486615297, -31.617827458594274]",0
489,"[29.662219764684767, -33.27823726512763]",0
490,"[14.523341514588365, -33.02689657942213]",0
491,"[15.11962670062011, -32.03296045646416]",0
492,"[15.458932947060715, -31.435745144967065]",0
493,"[38.874437736513876, -1.0652551849607574]",0
494,"[9.400793835728619, -18.424362568925662]",0
495,"[29.90207089339484, 22.673570891952043]",0
496,"[30.31436947568371, 23.341614219390415]",0
497,"[29.984919869922006, 23.6719237884599]",0
498,"[29.473871635988477, 24.04745648751892]",0
499,"[28.898163391259565, 24.17389298307005]",0
500,"[9.253059214756474, -3.876633839217822]",1
501,"[18.405120698368417, 27.447103174568447]",1
502,"[38.84213774599326, -14.869096825454399]",1
503,"[27.863946104697842, -38.757128634640324]",1
504,"[20.345249363094073, -40.06120698799273]",1
505,"[39.02468487386475, -15.523303939818467]",1
506,"[33.032825412930535, -24.14559449674736]",1
507,"[39.007146299595135, -15.250210103533604]",1
508,"[34.879694718571415, -21.963218821921256]",1
509,"[-15.731369668100694, -12.782823448931286]",1
510,"[-16.811143062937177, -4.195719441552622]",1
511,"[19.221627944166674, 25.821918616772162]",1
512,"[18.346986587758074, 26.268966624106742]",1
513,"[17.955664714467037, 26.363243664178494]",1
